1973-605,Masters,Carpet,8,M,19731204,012,100084,,,Tom Okker,R,178,NED,29.7823408624,4,0,100126,,,Stan Smith,R,193,USA,26.9733059548,5,0,7-6 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,013,100284,,,Jimmy Connors,L,178,USA,21.2539356605,3,0,100174,,,Manuel Orantes,L,178,ESP,24.8240930869,6,0,6-3 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,014,100284,,,Jimmy Connors,L,178,USA,21.2539356605,3,0,100126,,,Stan Smith,R,193,USA,26.9733059548,5,0,6-0 3-6 7-6,3,RR,,,,,,,,,,,,,,,,,,,
1973-605,Masters,Carpet,8,M,19731204,015,100126,,,Stan Smith,R,193,USA,26.9733059548,5,0,100174,,,Manuel Orantes,L,178,ESP,24.8240930869,6,0,7-5 4-6 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,001,100282,,,Guillermo Vilas,L,180,ARG,22.3134839151,9,0,100437,,,Bjorn Borg,R,180,SWE,18.5106091718,4,0,7-5 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,002,100282,,,Guillermo Vilas,L,180,ARG,22.3134839151,9,0,100087,,,John Newcombe,R,183,AUS,30.5489390828,2,0,6-4 7-6,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,003,100282,,,Guillermo Vilas,L,180,ARG,22.3134839151,9,0,100135,,,Onny Parun,R,188,NZL,27.6550308008,29,0,7-5 3-6 11-9,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,004,100282,,,Guillermo Vilas,L,180,ARG,22.3134839151,9,0,100309,,,Raul Ramirez,R,183,MEX,21.4729637235,21,0,4-6 6-3 6-2 7-5,5,SF,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,005,100282,,,Guillermo Vilas,L,180,ARG,22.3134839151,9,0,100119,,,Ilie Nastase,R,183,ROU,28.3942505133,6,0,7-6 6-2 3-6 3-6 6-4,5,F,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,006,100087,,,John Newcombe,R,183,AUS,30.5489390828,2,0,100437,,,Bjorn Borg,R,180,SWE,18.5106091718,4,0,7-6 7-6,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,007,100437,,,Bjorn Borg,R,180,SWE,18.5106091718,4,0,100135,,,Onny Parun,R,188,NZL,27.6550308008,29,0,3-6 6-3 10-8,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,008,100087,,,John Newcombe,R,183,AUS,30.5489390828,2,0,100135,,,Onny Parun,R,188,NZL,27.6550308008,29,0,6-4 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,009,100119,,,Ilie Nastase,R,183,ROU,28.3942505133,6,0,100087,,,John Newcombe,R,183,AUS,30.5489390828,2,0,6-3 7-6 6-2,5,SF,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,010,100119,,,Ilie Nastase,R,183,ROU,28.3942505133,6,0,100174,,,Manuel Orantes,L,178,ESP,25.839835729,11,0,6-4 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,011,100119,,,Ilie Nastase,R,183,ROU,28.3942505133,6,0,100309,,,Raul Ramirez,R,183,MEX,21.4729637235,21,0,6-4 2-6 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,012,100119,,,Ilie Nastase,R,183,ROU,28.3942505133,6,0,100286,,,Harold Solomon,R,168,USA,22.2286105407,15,0,6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,013,100309,,,Raul Ramirez,R,183,MEX,21.4729637235,21,0,100174,,,Manuel Orantes,L,178,ESP,25.839835729,11,0,6-3 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,014,100309,,,Raul Ramirez,R,183,MEX,21.4729637235,21,0,100286,,,Harold Solomon,R,168,USA,22.2286105407,15,0,6-1 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1974-605,Masters,Grass,8,M,19741210,015,100174,,,Manuel Orantes,L,178,ESP,25.839835729,11,0,100286,,,Harold Solomon,R,168,USA,22.2286105407,15,0,6-1 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1975-605,Masters,Hard,8,M,19751130,001,100437,,,Bjorn Borg,R,180,SWE,19.4825462012,5,0,100309,,,Raul Ramirez,R,183,MEX,22.4449007529,14,0,6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1975-605,Masters,Hard,8,M,19751130,002,100286,,,Harold Solomon,R,168,USA,23.2005475702,15,0,100309,,,Raul Ramirez,R,183,MEX,22.4449007529,14,0,5-7 6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1975-605,Masters,Hard,8,M,19751130,003,100282,,,Guillermo Vilas,L,180,ARG,23.2854209446,3,0,100309,,,Raul Ramirez,R,183,MEX,22.4449007529,14,0,6-4 6-0,3,RR,,,,,,,,,,,,,,,,,,,
1975-605,Masters,Hard,8,M,19751130,004,100437,,,Bjorn Borg,R,180,SWE,19.4825462012,5,0,100286,,,Harold Solomon,R,168,USA,23.2005475702,15,0,6-2 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1975-605,Masters,Hard,8,M,19751130,005,100282,,,Guillermo Vilas,L,180,ARG,23.2854209446,3,0,100437,,,Bjorn Borg,R,180,SWE,19.4825462012,5,0,7-5 4-6 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1975-605,Masters,Hard,8,M,19751130,006,100437,,,Bjorn Borg,R,180,SWE,19.4825462012,5,0,100074,,,Arthur Ashe,R,185,USA,32.3915126626,7,0,6-4 3-6 6-2 6-2,5,SF,,,,,,,,,,,,,,,,,,,
1975-605,Masters,Hard,8,M,19751130,007,100119,,,Ilie Nastase,R,183,ROU,29.3661875428,8,0,100437,,,Bjorn Borg,R,180,SWE,19.4825462012,5,0,6-2 6-2 6-1,5,F,,,,,,,,,,,,,,,,,,,
1975-605,Masters,Hard,8,M,19751130,008,100282,,,Guillermo Vilas,L,180,ARG,23.2854209446,3,0,100286,,,Harold Solomon,R,168,USA,23.2005475702,15,0,6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,
